event_id,user,destination,volume_mb,predicted_content_label,classifier_confidence,baseline_mean_mb,baseline_std_mb,z_score,is_anomaly,risk_score,decision,true_content_label,is_spike_injected,ground_truth_leak
1,alice,internal_drive,137.2,Restricted,0.9997,172.33,395.68,-0.089,False,2,ALERT,Restricted,False,False
2,bob,internal_drive,27.3,Unrestricted,0.9996,20.8,2.77,2.342,True,2,ALERT,Unrestricted,False,False
3,alice,personal_email,1895.4,Internal,0.9998,172.33,395.68,4.355,True,5,BLOCK,Internal,True,True
4,bob,internal_drive,24.4,Internal,0.9998,20.8,2.77,1.297,False,1,ALLOW,Internal,False,False
5,dave,external_usb,12.3,Internal,0.9998,15.0,1.58,-1.708,False,3,ALERT,Internal,False,True
6,alice,external_usb,150.3,Unrestricted,0.9993,172.33,395.68,-0.056,False,2,ALERT,Unrestricted,False,False
7,bob,external_usb,18.1,Unrestricted,0.9995,20.8,2.77,-0.973,False,2,ALERT,Unrestricted,False,False
8,alice,personal_email,6052.3,Restricted,0.9997,172.33,395.68,14.86,True,6,BLOCK,Restricted,True,True
9,carol,internal_drive,252.3,Internal,0.9998,245.2,533.75,0.013,False,1,ALLOW,Internal,False,False
10,dave,internal_drive,19.0,Restricted,0.9997,15.0,1.58,2.53,True,4,BLOCK,Restricted,False,False
11,carol,external_usb,156.1,Internal,0.9998,245.2,533.75,-0.167,False,3,ALERT,Internal,False,True
12,bob,cloud_upload,26.7,Unrestricted,0.9993,20.8,2.77,2.126,True,3,ALERT,Unrestricted,False,False
13,alice,personal_email,4884.3,Restricted,0.9996,172.33,395.68,11.908,True,6,BLOCK,Restricted,True,True
14,carol,external_usb,188.2,Unrestricted,0.9995,245.2,533.75,-0.107,False,2,ALERT,Unrestricted,False,False
15,carol,internal_drive,180.7,Restricted,0.9998,245.2,533.75,-0.121,False,2,ALERT,Restricted,False,False
16,bob,external_usb,17.0,Unrestricted,0.9993,20.8,2.77,-1.369,False,2,ALERT,Unrestricted,False,False
17,bob,cloud_upload,25.4,Unrestricted,0.9993,20.8,2.77,1.658,False,1,ALLOW,Unrestricted,False,False
18,bob,internal_drive,19.2,Internal,0.9998,20.8,2.77,-0.577,False,1,ALLOW,Internal,False,False
19,alice,external_usb,181.6,Internal,0.9997,172.33,395.68,0.023,False,3,ALERT,Internal,False,True
20,carol,external_usb,224.7,Internal,0.9997,245.2,533.75,-0.038,False,3,ALERT,Internal,False,True
21,dave,external_usb,238.4,Unrestricted,0.9997,15.0,1.58,141.291,True,4,BLOCK,Unrestricted,True,False
22,carol,personal_email,225.5,Unrestricted,0.9994,245.2,533.75,-0.037,False,2,ALERT,Unrestricted,False,False
23,bob,external_usb,14.0,Restricted,0.9998,20.8,2.77,-2.451,True,6,BLOCK,Restricted,False,True
24,alice,internal_drive,2260.9,Internal,0.9998,172.33,395.68,5.278,True,3,ALERT,Internal,True,True
25,dave,internal_drive,16.2,Restricted,0.9996,15.0,1.58,0.759,False,2,ALERT,Restricted,False,False
26,dave,cloud_upload,19.3,Unrestricted,0.9994,15.0,1.58,2.72,True,3,ALERT,Unrestricted,False,False
27,alice,internal_drive,177.4,Unrestricted,0.9995,172.33,395.68,0.013,False,0,ALLOW,Unrestricted,False,False
28,carol,cloud_upload,5372.9,Internal,0.9998,245.2,533.75,9.607,True,4,BLOCK,Internal,True,True
29,dave,internal_drive,19.5,Restricted,0.9998,15.0,1.58,2.846,True,4,BLOCK,Restricted,False,False
30,carol,external_usb,168.0,Internal,0.9998,245.2,533.75,-0.145,False,3,ALERT,Internal,False,True
31,carol,external_usb,7944.6,Internal,0.9998,245.2,533.75,14.425,True,5,BLOCK,Internal,True,True
32,alice,cloud_upload,118.8,Unrestricted,0.9993,172.33,395.68,-0.135,False,1,ALLOW,Unrestricted,False,False
33,carol,cloud_upload,3851.6,Unrestricted,0.9995,245.2,533.75,6.757,True,3,ALERT,Unrestricted,True,False
34,alice,internal_drive,215.9,Restricted,0.9996,172.33,395.68,0.11,False,2,ALERT,Restricted,False,False
35,bob,external_usb,28.2,Restricted,0.9998,20.8,2.77,2.667,True,6,BLOCK,Restricted,False,True
36,bob,cloud_upload,22.6,Restricted,0.9996,20.8,2.77,0.649,False,3,ALERT,Restricted,False,True
37,bob,external_usb,19.1,Internal,0.9998,20.8,2.77,-0.613,False,3,ALERT,Internal,False,True
38,carol,personal_email,235.7,Unrestricted,0.9997,245.2,533.75,-0.018,False,2,ALERT,Unrestricted,False,False
39,bob,external_usb,180.4,Restricted,0.9996,20.8,2.77,57.516,True,6,BLOCK,Restricted,True,True
40,bob,external_usb,637.5,Unrestricted,0.9995,20.8,2.77,222.243,True,4,BLOCK,Unrestricted,True,False
41,alice,external_usb,1551.9,Internal,0.9998,172.33,395.68,3.487,True,5,BLOCK,Internal,True,True
42,carol,internal_drive,201.7,Internal,0.9998,245.2,533.75,-0.081,False,1,ALLOW,Internal,False,False
