user,day,files_transferred,volume_mb,destination
alice,1,3,12,internal_drive
alice,2,2,8,internal_drive
alice,3,4,15,internal_drive
alice,4,3,10,internal_drive
alice,5,2,9,internal_drive
alice,6,45,980,external_usb
bob,1,5,20,internal_drive
bob,2,6,22,internal_drive
bob,3,4,18,internal_drive
bob,4,5,19,internal_drive
bob,5,7,25,internal_drive
carol,1,2,6,internal_drive
carol,2,3,7,internal_drive
carol,3,2,5,internal_drive
carol,4,3,8,internal_drive
carol,5,60,1200,cloud_upload
dave,1,4,14,internal_drive
dave,2,5,16,internal_drive
dave,3,4,13,internal_drive
dave,4,6,17,internal_drive
dave,5,5,15,internal_drive
