text,label
"Quarterly team lunch is scheduled for Friday at noon in the main cafeteria.",Unrestricted
"Please find attached the public press release announcing our new product launch.",Unrestricted
"The office will be closed on national holidays as per the published calendar.",Unrestricted
"Our company newsletter this month covers community volunteering events.",Unrestricted
"The updated parking policy applies to all employees starting next month.",Unrestricted
"Reminder: the cafeteria menu has been updated with new vegetarian options.",Unrestricted
"Marketing team welcomes two new interns joining this semester.",Unrestricted
"The annual sports day will be held at the community stadium this year.",Unrestricted
"Please review the internal project timeline for the Q3 roadmap before Monday's meeting.",Internal
"Attached is the internal budget draft for the upcoming fiscal year, for department heads only.",Internal
"Team, please do not forward this internal roadmap document outside the department.",Internal
"Internal memo: the server migration is scheduled for this weekend, IT staff only.",Internal
"This document outlines internal process changes for the finance approval workflow.",Internal
"Please keep this internal org chart confidential to the management team.",Internal
"Draft internal policy on remote work arrangements, pending HR review.",Internal
"Internal use only: preliminary sales figures for the current quarter.",Internal
"CONFIDENTIAL: employee salary details for the engineering department, SSN 512-34-9876.",Restricted
"Restricted: customer credit card number 4539 1488 0343 6467 was flagged for review.",Restricted
"This file contains client passwords and API keys, do not distribute: api_key=sk_live_29d8f7ah3k.",Restricted
"CONFIDENTIAL merger agreement details, distribution limited to executive board only.",Restricted
"Restricted access: patient medical records including diagnosis and treatment history.",Restricted
"Employee SSN 601-22-3345 and bank account 004512378 must be encrypted before storage.",Restricted
"CONFIDENTIAL legal settlement terms, not to be shared outside legal counsel.",Restricted
"Restricted database export containing customer PII and payment card numbers 4024007198765432.",Restricted
"Board-only CONFIDENTIAL acquisition target list and valuation figures.",Restricted
"Restricted: source code for the proprietary encryption module, trade secret.",Restricted
"Please distribute the public FAQ document to all customers on our website.",Unrestricted
"Internal draft of the employee onboarding checklist for new hires.",Internal
"CONFIDENTIAL security incident report detailing the breach root cause and affected systems.",Restricted
"General announcement: office Wi-Fi will be upgraded next week.",Unrestricted
